MSTRG.3949.1	jg21123.t1
MSTRG.10972.1	jg16527.t1
MSTRG.1000.1	jg15427.t2
MSTRG.10002.1	jg15971.t1
MSTRG.7064.1	jg12959.t1
MSTRG.10007.1	jg15973.t1
MSTRG.10008.1	jg15974.t1
MSTRG.10009.1	jg15975.t1
MSTRG.10010.1	jg15976.t1
MSTRG.10011.1	jg15977.t1
MSTRG.1001.1	jg15426.t1
MSTRG.10012.1	jg15731.t1
MSTRG.10014.1	jg15978.t1
MSTRG.10018.1	jg15981.t1
MSTRG.11855.1	jg5098.t1
MSTRG.10019.1	jg15982.t2
MSTRG.11686.1	jg5009.t1
MSTRG.21396.1	jg6878.t1
MSTRG.18674.1	jg22148.t1
MSTRG.7684.1	jg13380.t1
MSTRG.12704.1	jg5632.t1
MSTRG.10030.1	jg15986.t1
MSTRG.10031.1	jg15987.t1
MSTRG.9786.1	jg21143.t1
MSTRG.35860.1	jg4485.t1
MSTRG.10035.1	jg15989.t1
MSTRG.10038.1	jg15990.t1
MSTRG.10042.1	jg15991.t1
MSTRG.23133.1	jg9103.t1
MSTRG.31461.1	jg19534.t1
MSTRG.747.1	jg15298.t1
MSTRG.27781.1	jg17169.t1
MSTRG.1005.1	jg15429.t1
MSTRG.12189.1	jg5321.t1
MSTRG.10056.1	jg15993.t1
MSTRG.3447.1	jg12241.t1
MSTRG.14452.1	jg2538.t1
MSTRG.18261.1	jg21913.t1
MSTRG.30392.1	jg13905.t1
MSTRG.10072.1	jg15997.t1
MSTRG.10074.1	jg15999.t1
MSTRG.6883.1	jg12860.t1
MSTRG.10076.1	jg15998.t1
MSTRG.9989.1	jg15965.t1
MSTRG.10079.1	jg16003.t1
MSTRG.25730.1	jg14555.t1
MSTRG.1008.1	jg15432.t1
MSTRG.10082.1	jg16004.t1
MSTRG.10085.1	jg16009.t1
MSTRG.10086.1	jg16010.t1
MSTRG.10088.1	jg16011.t1
MSTRG.2364.1	jg10640.t1
MSTRG.10090.1	jg16012.t1
MSTRG.1009.1	jg15433.t1
MSTRG.10091.1	jg3465.t1
MSTRG.15692.1	jg986.t1
MSTRG.10097.1	jg16013.t1
MSTRG.10098.1	jg16014.t1
MSTRG.10099.1	jg16016.t1
MSTRG.10103.1	jg16019.t1
MSTRG.10107.1	jg16024.t1
MSTRG.10108.1	jg16023.t1
MSTRG.10110.1	jg16029.t1
MSTRG.10111.1	jg16027.t1
MSTRG.101.1	jg14941.t1
MSTRG.29296.1	jg20325.t1
MSTRG.10117.1	jg16031.t1
MSTRG.10118.1	jg16032.t1
MSTRG.4602.1	jg3149.t1
MSTRG.10120.1	jg16034.t3
MSTRG.10121.1	jg16035.t1
MSTRG.1012.1	jg15434.t1
MSTRG.10124.1	jg16036.t1
MSTRG.10125.1	jg16037.t1
MSTRG.20113.1	jg8435.t1
MSTRG.10129.1	jg16038.t1
MSTRG.22230.1	jg7342.t1
MSTRG.10137.1	jg16040.t1
MSTRG.10138.1	jg16042.t1
MSTRG.28717.1	jg2683.t1
MSTRG.8830.1	jg5817.t1
MSTRG.10144.1	jg16043.t1
MSTRG.11482.1	jg4893.t1
MSTRG.10146.1	jg16044.t1
MSTRG.10147.1	jg16046.t1
MSTRG.6779.1	jg12805.t1
MSTRG.1015.1	jg15435.t1
MSTRG.10156.1	jg16049.t1
MSTRG.10154.1	jg16048.t1
MSTRG.19179.1	jg7896.t1
MSTRG.10157.1	jg17131.t1
MSTRG.10161.1	jg16052.t1
MSTRG.10162.1	jg16053.t1
MSTRG.10163.1	jg16054.t1
MSTRG.10164.1	jg16055.t1
MSTRG.10165.1	jg16056.t1
MSTRG.1433.1	jg10128.t1
MSTRG.23907.1	jg9466.t1
MSTRG.12074.1	jg5881.t1
MSTRG.7644.1	jg17679.t1
MSTRG.10172.1	jg16058.t1
MSTRG.10173.1	jg16059.t1
MSTRG.10174.1	jg16060.t1
MSTRG.7859.1	jg12885.t1
MSTRG.10179.1	jg16062.t1
MSTRG.10180.1	jg16063.t1
MSTRG.16131.1	jg13927.t1
MSTRG.10186.1	jg16067.t1
MSTRG.15328.1	jg18846.t1
MSTRG.10189.1	jg16068.t1
MSTRG.10190.1	jg16070.t1
MSTRG.10191.1	jg16071.t1
MSTRG.10194.1	jg16072.t1
MSTRG.10196.1	jg16076.t1
MSTRG.30978.1	jg21610.t1
MSTRG.23899.1	jg9462.t1
MSTRG.10240.1	jg16095.t1
MSTRG.10204.1	jg16077.t1
MSTRG.28027.1	jg17339.t1
MSTRG.10206.1	jg16079.t1
MSTRG.14333.1	jg2430.t1
MSTRG.10209.1	jg16082.t1
MSTRG.10211.1	jg16080.t1
MSTRG.10212.1	jg16084.t1
MSTRG.3297.1	jg6635.t1
MSTRG.10215.1	jg16086.t1
MSTRG.10218.1	jg16087.t1
MSTRG.11592.1	jg4959.t1
MSTRG.1022.1	jg15436.t1
MSTRG.1149.1	jg15509.t1
MSTRG.1147.1	jg15508.t1
MSTRG.15577.1	jg908.t1
MSTRG.11193.1	jg16646.t1
MSTRG.10230.1	jg16090.t1
MSTRG.10231.1	jg8746.t1
MSTRG.1023.1	jg15438.t1
MSTRG.10236.1	jg16093.t1
MSTRG.10237.1	jg16094.t1
MSTRG.1024.1	jg15437.t1
MSTRG.10245.1	jg16097.t1
MSTRG.10248.1	jg16098.t1
MSTRG.165.1	jg14972.t1
MSTRG.10252.1	jg16100.t1
MSTRG.22642.1	jg3455.t1
MSTRG.10256.1	jg16101.t1
MSTRG.1189.1	jg15526.t1
MSTRG.10260.1	jg16102.t1
MSTRG.10261.1	jg16103.t1
MSTRG.18416.1	jg21997.t1
MSTRG.33838.1	jg281.t1
MSTRG.10263.1	jg16104.t1
MSTRG.10266.1	jg16105.t1
MSTRG.10267.1	jg16106.t1
MSTRG.10269.1	jg16108.t1
MSTRG.10270.1	jg16109.t1
MSTRG.10272.1	jg16112.t1
MSTRG.29431.1	jg10947.t1
MSTRG.9968.1	jg15952.t1
MSTRG.10278.1	jg16114.t1
MSTRG.17295.1	jg11390.t1
MSTRG.10281.1	jg16115.t1
MSTRG.1028.1	jg15442.t1
MSTRG.10740.1	jg16387.t1
MSTRG.10283.1	jg16116.t1
MSTRG.10284.1	jg16117.t1
MSTRG.10285.1	jg16118.t1
MSTRG.10286.1	jg16120.t1
MSTRG.10287.1	jg16121.t1
MSTRG.18718.1	jg22168.t1
MSTRG.4673.1	jg3178.t1
MSTRG.1029.1	jg15443.t1
MSTRG.10291.1	jg16126.t2
MSTRG.19593.1	jg8116.t1
MSTRG.6688.1	jg12744.t1
MSTRG.5695.1	jg3730.t1
MSTRG.14816.1	jg18538.t1
MSTRG.10305.1	jg16130.t1
MSTRG.10307.1	jg16131.t1
MSTRG.10309.1	jg16132.t1
MSTRG.10310.1	jg16133.t1
MSTRG.10311.1	jg16134.t1
MSTRG.10312.1	jg16135.t1
MSTRG.10313.1	jg16136.t1
MSTRG.31087.1	jg20590.t1
MSTRG.2527.1	jg10726.t1
MSTRG.10320.1	jg16138.t1
MSTRG.10322.1	jg16139.t1
MSTRG.10324.1	jg16140.t1
MSTRG.10325.1	jg16141.t1
MSTRG.10326.1	jg16142.t1
MSTRG.10331.1	jg16144.t1
MSTRG.10336.1	jg16145.t1
MSTRG.19079.1	jg7832.t1
MSTRG.10341.1	jg16148.t1
MSTRG.10348.1	jg16149.t1
MSTRG.10351.1	jg16150.t1
MSTRG.1037.1	jg15454.t1
MSTRG.10353.1	jg16153.t1
MSTRG.10354.1	jg16154.t1
MSTRG.10355.1	jg16155.t1
MSTRG.10359.1	jg16158.t1
MSTRG.10364.1	jg16159.t1
MSTRG.10365.1	jg16160.t1
MSTRG.22120.1	jg7265.t1
MSTRG.9941.1	jg15929.t1
MSTRG.10373.1	jg16168.t1
MSTRG.10376.1	jg16176.t1
MSTRG.10379.1	jg16177.t1
MSTRG.1038.1	jg15455.t1
MSTRG.10383.1	jg16178.t1
MSTRG.15595.1	jg920.t1
MSTRG.12942.1	jg9817.t1
MSTRG.10393.1	jg16186.t1
MSTRG.10394.1	jg16187.t1
MSTRG.10395.1	jg16189.t1
MSTRG.10396.1	jg16190.t1
MSTRG.10399.1	jg16191.t1
MSTRG.10400.1	jg16192.t1
MSTRG.10401.1	jg16193.t1
MSTRG.10403.1	jg16194.t1
MSTRG.10404.1	jg9146.t1
MSTRG.27413.1	jg13941.t1
MSTRG.10407.1	jg16197.t1
MSTRG.10408.1	jg16198.t1
MSTRG.10409.1	jg16199.t1
MSTRG.10411.1	jg16200.t1
MSTRG.10412.1	jg16201.t1
MSTRG.10413.1	jg16202.t1
MSTRG.10416.1	jg16203.t1
MSTRG.13289.1	jg1814.t1
MSTRG.10418.1	jg16206.t1
MSTRG.10420.1	jg16207.t1
MSTRG.10424.1	jg16208.t1
MSTRG.10425.1	jg15415.t1
MSTRG.10426.1	jg16211.t1
MSTRG.17869.1	jg21674.t1
MSTRG.1043.1	jg15456.t1
MSTRG.10434.1	jg16213.t1
MSTRG.10435.1	jg16215.t2
MSTRG.13231.1	jg1783.t1
MSTRG.10439.1	jg16217.t3
MSTRG.10441.1	jg16218.t1
MSTRG.10442.1	jg16219.t1
MSTRG.4358.1	jg3004.t1
MSTRG.10444.1	jg16220.t1
MSTRG.1045.1	jg15458.t1
MSTRG.10454.1	jg5319.t1
MSTRG.10455.1	jg16223.t1
MSTRG.12655.1	jg5599.t1
MSTRG.18619.1	jg22122.t1
MSTRG.10460.1	jg16229.t1
MSTRG.10462.1	jg16230.t1
MSTRG.10463.1	jg16231.t1
MSTRG.10469.1	jg8564.t1
MSTRG.10473.1	jg16235.t1
MSTRG.17554.1	jg11550.t1
MSTRG.10479.1	jg16238.t1
MSTRG.1048.1	jg15460.t1
MSTRG.10483.1	jg16241.t1
MSTRG.10485.1	jg16243.t1
MSTRG.16177.1	jg1303.t1
MSTRG.10487.1	jg16244.t2
MSTRG.10488.1	jg16245.t1
MSTRG.10489.1	jg16246.t1
MSTRG.10490.1	jg16247.t1
MSTRG.1049.1	jg15461.t1
MSTRG.10493.1	jg16249.t2
MSTRG.10500.1	jg16251.t1
MSTRG.10501.1	jg16252.t1
MSTRG.1050.1	jg15462.t1
MSTRG.15116.1	jg18697.t1
MSTRG.29178.1	jg244.t1
MSTRG.1051.1	jg15464.t1
MSTRG.10857.1	jg16447.t1
MSTRG.10513.1	jg16257.t1
MSTRG.10514.1	jg16258.t1
MSTRG.10515.1	jg16259.t1
MSTRG.10518.1	jg16261.t1
MSTRG.10520.1	jg16264.t1
MSTRG.12436.1	jg5461.t1
MSTRG.10524.1	jg16265.t1
MSTRG.34774.1	jg21770.t1
MSTRG.10527.1	jg16266.t1
MSTRG.10531.1	jg16268.t1
MSTRG.10532.1	jg16269.t1
MSTRG.10533.1	jg16270.t1
MSTRG.10534.1	jg16271.t2
MSTRG.10535.1	jg16272.t1
MSTRG.10536.1	jg16273.t1
MSTRG.10537.1	jg16274.t2
MSTRG.10539.1	jg16276.t1
MSTRG.10540.1	jg16277.t1
MSTRG.10543.1	jg16280.t1
MSTRG.13535.1	jg1960.t1
MSTRG.10547.1	jg16281.t1
MSTRG.10549.1	jg16282.t1
MSTRG.1055.1	jg15465.t1
MSTRG.10554.1	jg16283.t1
MSTRG.10555.1	jg16285.t1
MSTRG.27858.1	jg17208.t1
MSTRG.10557.1	jg16286.t1
MSTRG.10560.1	jg16287.t1
MSTRG.10562.1	jg16288.t1
MSTRG.10564.1	jg16289.t1
MSTRG.10566.1	jg16290.t1
MSTRG.8005.1	jg17871.t1
MSTRG.10568.1	jg16291.t1
MSTRG.10571.1	jg16292.t1
MSTRG.10572.1	jg16294.t1
MSTRG.10573.1	jg16295.t1
MSTRG.10574.1	jg16296.t1
MSTRG.10575.1	jg16297.t1
MSTRG.10576.1	jg16298.t1
MSTRG.10577.1	jg16299.t1
MSTRG.10578.1	jg16300.t1
MSTRG.10579.1	jg16301.t1
MSTRG.10580.1	jg16303.t1
MSTRG.1058.1	jg3979.t1
MSTRG.10585.1	jg16306.t1
MSTRG.10586.1	jg16307.t1
MSTRG.10588.1	jg16308.t1
MSTRG.30444.1	jg10007.t1
MSTRG.3872.1	jg12474.t1
MSTRG.25884.1	jg6125.t1
MSTRG.10599.1	jg16310.t1
MSTRG.10600.1	jg16313.t1
MSTRG.10604.1	jg16314.t1
MSTRG.10607.1	jg16315.t1
MSTRG.10608.1	jg16317.t1
MSTRG.7419.1	jg13176.t1
MSTRG.10613.1	jg16321.t1
MSTRG.7329.1	jg13137.t1
MSTRG.10615.1	jg16322.t1
MSTRG.10616.1	jg16323.t1
MSTRG.10617.1	jg16324.t1
MSTRG.15711.1	jg993.t1
MSTRG.1062.1	jg15467.t1
MSTRG.10631.1	jg19612.t1
MSTRG.10632.1	jg16328.t1
MSTRG.10637.1	jg16330.t1
MSTRG.1064.1	jg15469.t1
MSTRG.10647.1	jg16331.t1
MSTRG.1065.1	jg15470.t1
MSTRG.10654.1	jg16335.t1
MSTRG.10655.1	jg16336.t1
MSTRG.21364.1	jg6868.t1
MSTRG.10657.1	jg16337.t1
MSTRG.10661.1	jg16338.t1
MSTRG.27162.1	jg13805.t1
MSTRG.1067.1	jg15471.t1
MSTRG.10673.1	jg16343.t1
MSTRG.10675.1	jg16344.t1
MSTRG.1068.1	jg15472.t1
MSTRG.10682.1	jg16347.t1
MSTRG.10683.1	jg16348.t1
MSTRG.10684.1	jg16349.t1
MSTRG.10686.1	jg16351.t1
MSTRG.10687.1	jg16352.t1
MSTRG.10688.1	jg16353.t1
MSTRG.10690.1	jg16354.t1
MSTRG.10692.1	jg16355.t1
MSTRG.10695.1	jg16357.t1
MSTRG.10697.1	jg16358.t1
MSTRG.4492.1	jg3084.t1
MSTRG.10700.1	jg16360.t1
MSTRG.1070.1	jg15473.t1
MSTRG.10702.1	jg16361.t2
MSTRG.10704.1	jg16367.t1
MSTRG.10707.1	jg16366.t1
MSTRG.10709.1	jg16368.t1
MSTRG.10710.1	jg16369.t1
MSTRG.10712.1	jg16370.t1
MSTRG.10713.1	jg16372.t1
MSTRG.10716.1	jg16373.t1
